Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
Encounter Ongoing_Ongoing Healthcare Encounter_Healthcare Encounters,Encounter Ongoing,Ongoing Healthcare Encounter,Was the encounter ongoing at the time of study discharge?,YES | NO,Healthcare Encounters,null,Mapping_Not_Found
Encounter Start Date_Healthcare Encounter Start Date_Healthcare Encounters,Encounter Start Date,Healthcare Encounter Start Date,Date on which encounter began,,Healthcare Encounters,null,Mapping_Not_Found
Encounter Type_Reported Term for Healthcare Encounter_Healthcare Encounters,Encounter Type,Reported Term for Healthcare Encounter,Term to describe healthcare encounter,ICU | GENERAL INPATIENT HOSPITALIZATION | OUTPATIENT ER VISIT | PRIMARY CARE PROVIDER VISIT | URGENT CARE VISIT | OTHER (SPECIFY),Healthcare Encounters,null,Mapping_Not_Found
"Encounter Type, specify_Reported Term for Healthcare Encounter, Specify_Healthcare Encounters","Encounter Type, specify","Reported Term for Healthcare Encounter, Specify",,,Healthcare Encounters,null,Mapping_Not_Found
Site Identifier_StudySite Identifier_Healthcare Encounters,Site Identifier,StudySite Identifier,,,Healthcare Encounters,Study Site Identifier,YgFwJdEh0
Arm_Name of the study arm_Intervention Exposure,Arm,Name of the study arm,What was study treatment name?,,Intervention Exposure,null,Mapping_Not_Found
Dose Form_Dose Form_Intervention Exposure,Dose Form,Dose Form,What was the dose form of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
Dose Frequency_Dose Frequency_Intervention Exposure,Dose Frequency,Dose Frequency,What was the frequency of [study treatment/dose] dosing?,,Intervention Exposure,null,Mapping_Not_Found
Dose Route_Dose Route of Administration_Intervention Exposure,Dose Route,Dose Route of Administration,What was the route of administration of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
Dose Units_Dose Units_Intervention Exposure,Dose Units,Dose Units,What were the units for the dose?,,Intervention Exposure,null,Mapping_Not_Found
"Dose, actual_Treatment Dose, Actual_Intervention Exposure","Dose, actual","Treatment Dose, Actual",What was the actual dose per administration of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
"Dose, per protocol_Treatment Dose, Planned_Intervention Exposure","Dose, per protocol","Treatment Dose, Planned",What was the planned dose per administration of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
"End Day_Treatment End Date, Day_Intervention Exposure",End Day,"Treatment End Date, Day",What was the [study treatment/dose] (end) date? [Day] ,,Intervention Exposure,null,Mapping_Not_Found
"End Month_Treatment End Date, Month_Intervention Exposure",End Month,"Treatment End Date, Month",What was the [study treatment/dose] (end) date? [Month] ,,Intervention Exposure,null,Mapping_Not_Found
End Time_Treatment End Time_Intervention Exposure,End Time,Treatment End Time,What was the [study treatment/dose] (end) time?,,Intervention Exposure,null,Mapping_Not_Found
"End Year_Treatment End Date, Year_Intervention Exposure",End Year,"Treatment End Date, Year",What was the [study treatment/dose] (end) date? [Year] ,,Intervention Exposure,null,Mapping_Not_Found
Ongoing_Treatment Ongoing_Intervention Exposure,Ongoing,Treatment Ongoing,What was the [study treatment/dose] ongoing at the time of study discharge?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Start Day_Treatment Start Date, Day_Intervention Exposure",Start Day,"Treatment Start Date, Day",What was the [study treatment/dose] (start) date? [Day] ,,Intervention Exposure,null,Mapping_Not_Found
"Start Month_Treatment Start Date, Month_Intervention Exposure",Start Month,"Treatment Start Date, Month",What was the [study treatment/dose] (start) date? [Month] ,,Intervention Exposure,null,Mapping_Not_Found
Start Time_Treatment Start Time_Intervention Exposure,Start Time,Treatment Start Time,What was the [study treatment/dose] (start) time?,,Intervention Exposure,null,Mapping_Not_Found
"Start Year_Treatment Start Date, Year_Intervention Exposure",Start Year,"Treatment Start Date, Year",What was the [study treatment/dose] (start) date? [Year] ,,Intervention Exposure,null,Mapping_Not_Found
Study Site_Study Site Identifier_Intervention Exposure,Study Site,Study Site Identifier,,,Intervention Exposure,Study Site Identifier,YgFwJdEh0
Treatment Completed_Exposure Completed_Intervention Exposure,Treatment Completed,Exposure Completed,Did the subject complete the full course of [study treatment/dose]?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Treatment Completed, Reason_Exposure Reason for Not Completed_Intervention Exposure","Treatment Completed, Reason",Exposure Reason for Not Completed,What was the reason that the full course of [study treatment/dose] was not completed?,PARTICIPANT ENDED STUDY EARLY | INTERVENTION LOGISTICS | OUTPATIENT NON-COMPLIANCE | SAFETY CONCERNS | CLINICAL DETERIORATION | OTHER,Intervention Exposure,null,Mapping_Not_Found
Treatment Occurrence_Exposure Occurrence_Intervention Exposure,Treatment Occurrence,Exposure Occurrence,Was [study treatment/dose] administered?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Treatment Occurrence, Reason_Exposure Reason for No Occurrence_Intervention Exposure","Treatment Occurrence, Reason",Exposure Reason for No Occurrence,What was the reason that [study treatment/dose] did not occur?,PARTICIPANT ENDED STUDY PRIOR TO ADMINISTRATION | INTERVENTION LOGISTICS | OUTPATIENT NON-COMPLIANCE | SAFETY CONCERNS | CLINICAL DETERIORATION | OTHER,Intervention Exposure,null,Mapping_Not_Found
Treatment_Name of the treatment_Intervention Exposure,Treatment,Name of the treatment,What was the name of the treatment administered?,,Intervention Exposure,null,Mapping_Not_Found
"Treatment, Incomplete Doses_Number of Planned Doses that were Partial but Incomplete_Intervention Exposure","Treatment, Incomplete Doses",Number of Planned Doses that were Partial but Incomplete,How many planned exposures were administered at a partial dose during dosing interval?,,Intervention Exposure,null,Mapping_Not_Found
"Treatment, Missed Doses_Number of Planned Doses that were Missed_Intervention Exposure","Treatment, Missed Doses",Number of Planned Doses that were Missed,How many planned exposures were missed during the dosing interval?,,Intervention Exposure,null,Mapping_Not_Found
Anti-gout_Anti-Gout_Medical History,Anti-gout,Anti-Gout,Is the participant currently (within the last 3 weeks) receiving any anti-gout medications?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Anti-rejection medicine_Anti-rejection medicine_Medical History,Anti-rejection medicine,Anti-rejection medicine,Is the participant currently (within the last 3 weeks) receiving anti-rejection medicines following solid organ or stem cell transplant?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Antibacterial_Antibacterial_Medical History,Antibacterial,Antibacterial,Is the participant currently (within the last 3 weeks) receiving any antibacterial medications?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Antiretrovirals_Antiretrovirals_Medical History,Antiretrovirals,Antiretrovirals,Is the participant currently (within the last 3 weeks) taking ART/HAART for HIV/AIDS?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Atrial fibrillation_Atrial fibrillation_Medical History,Atrial fibrillation,Atrial fibrillation,Does the participant have atrial fibrillation?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Atrial flutter_Atrial flutter_Medical History,Atrial flutter,Atrial flutter,Does the participant have atrial flutter?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cannabis Abuse Frequency_Cannabis Abuse Frequency_Medical History,Cannabis Abuse Frequency,Cannabis Abuse Frequency,Indicate estimated frequency of cannabis substance abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Cannabis Abuse_Cannabis Abuse_Medical History,Cannabis Abuse,Cannabis Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of cannabis?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cell-based Therapy_Cell-based therapy_Medical History,Cell-based Therapy,Cell-based therapy,Is the participant currently (within the last 3 weeks) receiving any cell-based therapies?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cerebrovascular disease_Cerebrovascular disease_Medical History,Cerebrovascular disease,Cerebrovascular disease,"Does the participant have cerebrovascular disease (such as TIA, hemorrhagic or ischemic stroke)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Date of symptom onset_Date of symptom onset_Medical History,Date of symptom onset,Date of symptom onset,What is the estimated date of COVID-19 symptom onset?,,Medical History,Self-Reported COVID-19 Symptom Onset Date,VHxN7_JtoF
Chronic Kidney Disease Severity_Chronic Kidney Disease Severity_Medical History,Chronic Kidney Disease Severity,Chronic Kidney Disease Severity,"What severity is the Chronic Kidney Disease?
Mild = abnormal BUN (> 40mg/dL) and creatinine greater than 2.0; Moderate/Severe= creatinine > 3.0 or subjects with uremia or those with kidney transplant",MILD | MODERATE/SEVERE,Medical History,null,Mapping_Not_Found
Chronic Kidney Disease with AKI_Chronic Kidney Disease with AKI_Medical History,Chronic Kidney Disease with AKI,Chronic Kidney Disease with AKI,Does the participant have a history of chronic kidney disease with AKI (such as an increased creatinine above baseline in a person with a history of CKD)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Chronic Kidney Disease with Dialysis Dependence_Chronic Kidney Disease with Dialysis Dependence_Medical History,Chronic Kidney Disease with Dialysis Dependence,Chronic Kidney Disease with Dialysis Dependence,Does the participant have a history of chronic kidney disease with dialysis dependence?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cocaine Abuse Frequency_Cocaine Abuse Frequency_Medical History,Cocaine Abuse Frequency,Cocaine Abuse Frequency,Indicate estimated frequency of cocaine substance abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Cocaine Abuse_Cocaine Abuse_Medical History,Cocaine Abuse,Cocaine Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of cocaine?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Connective tissue disease_Connective tissue disease_Medical History,Connective tissue disease,Connective tissue disease,"Does the participant have a connective tissue disease (including rheumatologic disorders such as SLE, polymyositis, mixed connective tissue disease, polymyalgia rheumatic, and moderate to severe rheumatoid arthritis)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
COPD_COPD_Medical History,COPD,COPD,Does the participant have a history of chronic obstructive pulmonary disease?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Coronary artery disease_Coronary artery disease_Medical History,Coronary artery disease,Coronary artery disease,Does the participant have coronary artery disease?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
COVID-19 Positive Qualifying Test_COVID-19 Positive Qualifying Test_Medical History,COVID-19 Positive Qualifying Test,COVID-19 Positive Qualifying Test,Has the participant had a qualifying positive test for COVID-19?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Current smoker_Current smoker_Medical History,Current smoker,Current smoker,Is the participant a current smoker (at least 100 cigarettes in their lifetime and currently smokes at least occasionally)?,NO | YES | UNKNOWN,Medical History,SARS-CoV-2 Risk Behavior Type,7LKV0BbMBd
Date of exposure_Date of exposure_Medical History,Date of exposure,Date of exposure,What is the date of known COVID-19 exposure?,,Medical History,null,Mapping_Not_Found
Diabetes End Organ Damage_Diabetes End Organ Damage_Medical History,Diabetes End Organ Damage,Diabetes End Organ Damage,"Does the participant have diabetes with end-organ damage (proliferative retinopathy, nephropathy, neuropathy, or cardiomyopathy?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Diabetic medications_Diabetic medications_Medical History,Diabetic medications,Diabetic medications,Is the participant currently (within the last 3 weeks) receiving any diabetic medications?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Former smoker_Former smoker_Medical History,Former smoker,Former smoker,Is the participant a former smoker (at least 100 cigarettes in their lifetime but no longer smokes)?,NO | YES | UNKNOWN,Medical History,SARS-CoV-2 Risk Behavior Type,7LKV0BbMBd
Hemiplegia_Hemiplegia_Medical History,Hemiplegia,Hemiplegia,Does the participant have hemiplegia from any cause?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Hemoglobin disorders_Hemoglobin disorders_Medical History,Hemoglobin disorders,Hemoglobin disorders,"Does theparticipant have any hemoglobin disorders (e.g., Sickle Cell Disease, Thalassemia)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Immune Modulator_Immune Modulator_Medical History,Immune Modulator,Immune Modulator,Is the participant currently (within the last 3 weeks) receiving any immunomodulators?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Immunosuppression_Immunosuppression_Medical History,Immunosuppression,Immunosuppression,Does the participant have a condition causing them to be immunosuppressed?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Immunosuppressive_Immunosuppressive_Medical History,Immunosuppressive,Immunosuppressive,"Is the participant currently (within the last 3 weeks) taking any immunosuppressive medication, not including steroids?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Interstitial lung disease_Interstitial lung disease_Medical History,Interstitial lung disease,Interstitial lung disease,Does the participant have interstitial lung disease?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Leukemia_Leukemia_Medical History,Leukemia,Leukemia,"Does the participant have leukemia (AML, CML, ALL, or multiple myeloma)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Liver Disease Severity_Liver Disease Severity_Medical History,Liver Disease Severity,Liver Disease Severity,"What severity is the Chronic Liver Disease?
Mild = cirrhosis without portal hypertension, chronic hepatitis; Moderate/Severe= cirrhosis and portal hypertension.",MILD | MODERATE/SEVERE,Medical History,null,Mapping_Not_Found
Lymphoma_Lymphoma_Medical History,Lymphoma,Lymphoma,Does the participant have lymphoma (Hodgkin or Non-Hodgkin)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Medical History Collection Date_Medical History Collection Date_Medical History,Medical History Collection Date,Medical History Collection Date,,,Medical History,null,Mapping_Not_Found
Metastatic solid tumor_Metastatic solid tumor_Medical History,Metastatic solid tumor,Metastatic solid tumor,Does the participant have a history of metastatic cancer from primary solid tumor?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Myocardial infarction_Myocardial infarction_Medical History,Myocardial infarction,Myocardial infarction,Has the participant previously had a myocardial infarction (including ECG or enzyme changes indicative of a heart attack)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Pregnancy_Pregnancy_Medical History,Pregnancy,Pregnancy,Is the participant currently pregnant?,NO | YES | UNKNOWN,Medical History,Current Pregnancy Indicator,LiUWCWluP
NSAIDS_NSAIDS_Medical History,NSAIDS,NSAIDS,"Is the participant currently (within the last 3 weeks) receiving NSAIDS, other than aspirin?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Obesity_Obesity_Medical History,Obesity,Obesity,Is the participant obese (BMI â‰¥ 30.0)?,NO | YES | UNKNOWN,Medical History,Comorbidity or Underlying Condition Type,t4KS6j8lZq
Opioid Abuse Frequency_Opioid Abuse Frequency_Medical History,Opioid Abuse Frequency,Opioid Abuse Frequency,Indicate estimated frequency of opioid abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Opioid Abuse_Opioid Abuse_Medical History,Opioid Abuse,Opioid Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of opioids?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Other arrhythmia_Other arrhythmia_Medical History,Other arrhythmia,Other arrhythmia,"Does the participant have other non-atrial arrhythmia (including ventricular tachycardia non-sustained, ventricular tachycardia sustained, ventricular fibrillation, other)",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Other substance Abuse frequency_Other substance Abuse frequency_Medical History,Other substance Abuse frequency,Other substance Abuse frequency,Indicate estimated frequency of other substance abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Peripheral vascular disease_Peripheral vascular disease_Medical History,Peripheral vascular disease,Peripheral vascular disease,"Does the participant have peripheral vascular disease (including intermittent claudication, acute arterial insufficiency with or without gangrene, those with lower extremity bypass or untreated thoracic or abdominal aneurysms measuring 6 cm or more)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Prior (to current illness) oxygen support_Prior (to current illness) oxygen support_Medical History,Prior (to current illness) oxygen support,Prior (to current illness) oxygen support,Does the participant have a history of oxygen use (excluding sleep apnea devices) prior to becoming sick?,NO | YES | UNKNOWN,Medical History,Supplemental Oxygen Occurrence Indicator||Oxygen support,MdTTuSmDDX||Qq8gfg3DHO
"Prior (to current illness) oxygen support, frequency_Prior (to current illness) oxygen support, frequency_Medical History","Prior (to current illness) oxygen support, frequency","Prior (to current illness) oxygen support, frequency",Was prior oxygen use intermittent or chronic (all the time),CHRONIC | INTERMITTENT | UNKNOWN,Medical History,null,Mapping_Not_Found
Prior organ transplant_Prior organ transplant_Medical History,Prior organ transplant,Prior organ transplant,Has the participant previously received a solid organ transplant?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
RAAS Blockers_RAAS Blockers_Medical History,RAAS Blockers,RAAS Blockers,Is the participant currently (within the last 3 weeks) receiving any RAAS blockers?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Schizophrenia_Schizophrenia_Medical History,Schizophrenia,Schizophrenia,Does the participant have schizophrenia?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Sedative Abuse Frequency_Sedative Abuse Frequency_Medical History,Sedative Abuse Frequency,Sedative Abuse Frequency,Indicate estimated frequency of sedative abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Sedative Abuse_Sedative Abuse_Medical History,Sedative Abuse,Sedative Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of sedatives?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Seizures_Seizures_Medical History,Seizures,Seizures,Does the participant have a history of any seizure disorder requiring anti-epileptic drug therapy?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
SSRI_SSRI_Medical History,SSRI,SSRI,Is the participant currently (within the last 3 weeks) taking any Selective serotonin reuptake inhibitors (SSRIs)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Statins_Statins_Medical History,Statins,Statins,Is the participant currently (within the last 3 weeks) receiving any statins?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Subject Identfier_Subject Identifier for the Study_Medical History,Subject Identfier,Subject Identifier for the Study,,,Medical History,Subject ID,Aguk0xu_dB
Symptomatic_Symptomatic_Medical History,Symptomatic,Symptomatic,Was the participant symptomatic at the time or enrollment? ,YES | NO,Medical History,null,Mapping_Not_Found
Systemic steroids_Systemic steroids_Medical History,Systemic steroids,Systemic steroids,Is the participant currently (within the last 3 weeks) receiving any systemic steroids?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Thromboembolic Disorder_Thromboembolic Disorder_Medical History,Thromboembolic Disorder,Thromboembolic Disorder,Does the participant have a thromboembolic disorder?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Tuberculosis_Tuberculosis_Medical History,Tuberculosis,Tuberculosis,Has the participant ever had tuberculosis?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Ulcer disease_Ulcer disease_Medical History,Ulcer disease,Ulcer disease,Does the participant have ulcer disease (including peptic and gastric ulcer disease; GERD is not included)?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Completion Date_Organ Support Completion Date_Organ Support Outcomes,Completion Date,Organ Support Completion Date,Date of organ support assessment.,,Organ Support Outcomes,Organ Support Completion Date,aGbOEYcnZx
Oxygen support category_Oxygen Support Category_Organ Support Outcomes,Oxygen support category,Oxygen Support Category,Was the oxygen support received invasive or non-invasive?,INVASIVE | NON-INVASIVE | UNKNOWN/UNCERTAIN | NOT ASSESSED,Organ Support Outcomes,Oxygen support category,HYKkzgy09r
Oxygen support status_Oxygen Support Status_Organ Support Outcomes,Oxygen support status,Oxygen Support Status,Was the participant receiving oxygen support on this day?,YES | NO | UNKNOWN,Organ Support Outcomes,Oxygen support||Supplemental Oxygen Occurrence Indicator,Qq8gfg3DHO||MdTTuSmDDX
Oxygen support type_Oxygen Support Type_Organ Support Outcomes,Oxygen support type,Oxygen Support Type,What was the highest level of oxygen support the participant received on this day?,NO O2 THERAPY | O2 BY MASK | O2 BY NASAL PRONGS | O2 BY NIV (INCLUDING BIPAP OR CPAP) | O2 BY HIGH FLOW | MECHANICAL VENTILATION | ECMO | UNKNOWN/UNCERTAIN | NOT ASSESSED,Organ Support Outcomes,Highest level of oxygen support received on study day||COVID-19 Treatment or Device Type,vE1KIuwi16||DglWc5g5Lj
Planned timepoint_Inpatient Outcomes  Planned Time Point Name_Organ Support Outcomes,Planned timepoint,Inpatient Outcomes  Planned Time Point Name,What was the planned time point of the inpatient measurement?,DAILY | WORST | OTHER,Organ Support Outcomes,Planned time point for the inpatient measurement,4s09bNcfo9
Completion date_Symptom Collection Date_Symptom Burden Outcomes,Completion date,Symptom Collection Date,Date of form completion.,,Symptom Burden Outcomes,null,Mapping_Not_Found
Date of collection_Vital Signs Date_Vital Signs,Date of collection,Vital Signs Date,What was the date of the vital sign measurement?,,Vital Signs,Vital Signs Date and Time||Vital Signs Timepoint,J3qB_spuJO||R62LLauN_A
"Confusion, change in ability to think, change inability to interact with other people_Symptom confusion_Symptom Burden Outcomes","Confusion, change in ability to think, change inability to interact with other people",Symptom confusion,Has the participant experienced any confusion (such as change in ability to think or interact with other people) today? ,YES | NO,Symptom Burden Outcomes,null,Mapping_Not_Found
DyspneaRating_Dyspnea Rating_Symptom Burden Outcomes,DyspneaRating,Dyspnea Rating,What is the worst the participantâ€™s dyspnea has been on this day? ,"NONE OR I ONLY GET BREATHLESS WITH STRENUOUS EXERCISE, WHEN HURRYING ON LEVEL GROUND OR WALKING UP A SLIGHT HILL | ON LEVEL GROUND, I WALK SLOWER THAN PEOPLE OF THE SAME AGE BECAUSE OF BREATHLESSNESS, OR I HAVE TO STOP FOR BREATH WHEN WALKING AT MY OWN PACE ON LEVEL GROUND | I STOP FOR BREATH AFTER WALKING ABOUT 100 YARDS OR AFTER A FEW MINUTES ON LEVEL GROUND | I AM TOO BREATHLESS TO LEAVE THE HOUSE OR I AM BREATHLESS WHEN DRESSING",Symptom Burden Outcomes,null,Mapping_Not_Found
FatigueRating_Fatigue Rating_Symptom Burden Outcomes,FatigueRating,Fatigue Rating,What is the worst the participantâ€™s fatigue has been on this day? ,"AS FULLY ALERT AND WIDE AWAKE AS I WAS BEFORE BECOMING SICK | A LITTLE TIRED, LET DOWN | MODERATELY TO EXTREMELY TIRED, VERY DIFFICULT TO CONCENTRATE | COMPLETELY EXHAUSTED, UNABLE TO FUNCTION EFFECTIVELY",Symptom Burden Outcomes,null,Mapping_Not_Found
